Judul,Waktu,Link,Content,tag1,tag2,tag3,tag4,tag5,source,Kategori
DPR Minta Kejaksaan Kesampingkan Perkara Jovi Demi Kepentingan Umum,21 November 2024,https://nasional.kompas.com/read/2024/11/21/18273771/dpr-minta-kejaksaan-kesampingkan-perkara-jovi-demi-kepentingan-umum," JAKARTA, KOMPAS.com - Anggota Komisi III DPR RI Nasir Djamil meminta Kejaksaan Agung (Kejagung) untuk mengesampingkan perkara pidana yang melibatkan Jovi Andrea Bachtiar, seorang Jaksa Fungsional di Kejaksaan Negeri (Kejari) Tapanuli Selatan, Sumatera Utara. Saat ini, Jovi tengah menjalani persidangan terkait dugaan pelanggaran Undang-Undang Informasi dan Transaksi Elektronik (UU ITE). Perkara itu diadukan oleh rekannya yang seorang jaksa di Kejari Tapsel, Nella Marsela karena merasa namanya dicemarkan melalui media sosial oleh Jovi atas penggunaan mobil dinas untuk kepentingan pribadi. “Nah, karena proses ini sudah bergulir dan saudara MM juga sudah melaporkan ke kepolisian di Tapanuli Selatan, kita harapkan bisa diterima dengan baik dan juga ada peluang restorative justice,” ujar Nasir di Kompleks Parlemen, Senayan, Jakarta, pada Kamis (21/11/2024). Nasir menjelaskan bahwa kejaksaan memiliki kewenangan untuk mengesampingkan perkara. Ia mendorong agar konflik hukum antara Jovi dan Nella dapat diabaikan demi kepentingan umum. “Sementara itu, prosesnya Jovi yang sudah sampai ke persidangan itu, kejaksaan punya kewenangan untuk mengesampingkan perkara demi kepentingan umum,” ujarnya. Ia mengkhawatirkan bahwa kasus ini dapat merusak kepercayaan publik terhadap institusi kejaksaan. Menurutnya, masalah yang dihadapi Jovi seharusnya dapat diselesaikan secara internal melalui sanksi etik atau administratif jika terbukti melanggar. “Jadi ada seorang jaksa seolah-olah dia diadili tanpa kejaksaan. Oleh karena itu, kejaksaan punya kewenangan untuk mengesampingkan perkara ini demi kepentingan umum, lalu kemudian melakukan introspeksi organisasi dan pribadi aparat penegak hukum itu,” paparnya. “Jadi mudah-mudahan ini bisa berjalan dengan baik, kemudian masyarakat bisa percaya bahwa kejaksaan bisa mendisiplinkan aparat yang ada di dalamnya,” imbuhnya.",Nasir Djamil,Kejaksaan Agung,Jovi Andrea Bachtiar,Nella Marsela,,kompas,Politik
TNI Ungkap Isi Komunikasi dengan Ferry Irwandi,"Sabtu, 13 Sep 2025 22:51 WIB",https://news.detik.com/berita/d-8110772/tni-ungkap-isi-komunikasi-dengan-ferry-irwandi,"Mabes TNI telah melakukan komunikasi dengan CEO Malaka Project Ferry Irwandi usai berpolemik. TNI menyampaikan isi komunikasi yang dilakukan dengan Ferry. ""Semangat TNI adalah selalu Bersatu Bersama Rakyat. Termasuk menjaga dari disinformasi dan misinformasi yang bisa menimbulkan gejolak di masyarakat,"" tulis Puspen TNI dalam keterangan unggahannya dilihat, Sabtu (13/9/2025).   Mabes TNI menegaskan telah berdialog dengan Ferry membahas polemik yang belakangan jadi perbincangan publik. Disebutkan komunikasi keduanya bertujuan meluruskan informasi yang salah. ""TNI telah berkomunikasi dengan saudara @irwandiferry untuk saling meluruskan informasi yang salah, agar masyarakat bisa mendapatkan informasi yang benar, dan menjalani keseharian dengan tenang. Tekad kami satu, 'Sama-sama berjuang menjaga Indonesia tercinta',"" katanya. Polemik yang dimaksud ialah bermula saat TNI berniat melaporkan Ferry ke polisi atas dugaan pencemaran nama baik institusi. Namun hal itu menuai kritik lantaran putusan Mahkamah Konstitusi (MK) terhadap UU ITE telah mengatur bahwa kasus pencemaran nama baik tidak bisa dilaporkan institusi. Sebelumnya, Ferry mengaku telah ditelepon oleh Kapuspen TNI Brigjen TNI (Marinir) Freddy Ardianzah terkait dugaan tindak pidana yang dilakukannya. Keduanya sudah berdialog dan saling mengakui adanya kesalahpahaman dalam situasi saat ini. ""Terjadi dialog antara saya dan beliau, yang intinya ada banyak kesalahpahaman di antara situasi ini,"" tulis Ferry dalam akun Instagramnya, Sabtu (13/9/2025). Ferry telah mengizinkan unggahannya untuk dikutip.    Ferry mengatakan Kapuspen TNI Brigjen Freddy telah meminta maaf atas kesalahpahaman tersebut. Begitu juga dengan dirinya. Ia yakin masih banyak prajurit yang mencintai negara dan berkomitmen melindungi rakyat Indonesia. ""Beliau meminta maaf atas situasi yang terjadi kepada saya dan yang harus saya hadapi, begitu juga sebaliknya, saya juga sudah meminta maaf atas situasi yang terjadi pada tubuh TNI saat ini,"" ujarnya. ""Banyak prajurit yang memang sangat mencintai negara ini dan melindungi warga negaranya saat ini, saya masih percaya itu,"" lanjut Ferry. Ferry memastikan tidak ada langkah proses hukum lebih lanjut terkait polemik tersebut. Ia berterima kasih atas dukungan dari semua pihak terhadap dirinya. ""Jadi, kenkawan, sudah tidak ada tindak lanjut hukum apapun ke depannya terhadap saya. Saya terima kasih dukungan teman-teman semua,"" ujarnya.",tni,ferry irwandi,mabes tni,pencemaran nama baik,,detik,Internasional
Kata Greysia Polii Soal Persaingan dan Regenerasi Pemain Bulu Tangkis Sektor Ganda Putri Indonesia,11 Oktober 2024 | 06.05 WIB,https://www.tempo.co/olahraga/kata-greysia-polii-soal-persaingan-dan-regenerasi-pemain-bulu-tangkis-sektor-ganda-putri-indonesia-1064524,"Baca berita dengan sedikit iklan,  klik di sini  TEMPO.CO, Jakarta - Mantan atlet bulu tangkis Greysia Polii mengungkapkan penilaiannya mengenai persaingan dan regenerasi pemain di sektor ganda putri Indonesia saat ini. Peraih medali emas Olimpiade Tokyo 2020 ini menekankan bahwa penting untuk menjaga persaingan sehat dan regenerasi.  Baca berita dengan sedikit iklan,  klik di sini  Greysia menyampaikan itu melihat peringkat pemain ganda putri Indonesia. Saat ini, Febriana Dwipuji Kusuma/Amallia Cahaya Pratiwi kini menduduki rangking 12 dunia, unggul satu tingkat dari Apriyani Rahayu/Siti Fadia Silva Ramadhanti yang sebelumnya memiliki peringkat lebih baik.  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  “Ini persaingan yang sangat sehat menurut saya. Seperti yang sudah saya katakan sebelumnya kalau kita tidak boleh bertumpu pada satu pasangan saja, harusnya ada layer-nya, yang di mana junior-junior pun (perlu adanya) percepatan (ke turnamen dan naik kelas),” kata Greysia saat ditemui di Jakarta, Kamis, 10 Oktober 2024. “Jadi, ketika kita masuk ke pertandingan, jika ada wakil Indonesia yang kalah, kita masih punya wakil lainnya seperti (tim) Cina, Jepang, dan Korea (Selatan). Jadi bisa bergantian juara, ini suatu persaingan yang sehat,” ujarnya menambahkan. Lebih lanjut, Greysia menilai regenerasi di sektor ganda putri yang ia pernah gelutinya sudah ada kemajuan. Hal itu terlihat dengan keberhasilan pasangan Jesita Putri Miantoro/Febi Setianingrum yang belum lama ini menjadi juara. ""Ini yang harus dijaga. Tapi PR-nya kita ini (konsistensi) yang harus dijaga agar untuk level (Super) 500 ke atas harus bisa tembus,” kata dia. Di sisi lain, adanya pasangan baru ganda putri Siti Fadia Silva Ramadhanti/Lanny Tria Mayasari yang akan tampil di turnamen Kumamoto Masters 2024. Fadia dipasangkan dengan Lanny karena Apriyani, mantan pasang Greysia tengah melakukan rehat penyembuhan cedera. “Itu adalah hal yang biasa untuk berganti partner, tidak ada masalah dengan itu. Apri rehat dulu karena (fokus) penyembuhan dalam cedera. Fadia dan Lanny sama-sama mempunyai kualitas bagus, jadi mengapa tidak dipertandingkan? Harus dicoba,” ujar Greysia. Greysia mengatakan para atlet juga harus bisa menjaga semangat dan konsistensi agar bisa tampil dengan baik di setiap pertandingan, bahkan setelah Olimpiade. “Hati dan api atau fire-nya harus ada untuk selalu bisa menjaga performa … Kalau kita masih mau menjadi atlet, harus bertanggung jawab dengan apa yang kita lakukan saat ini, kudu all out, terlepas apa pun hasilnya, yang penting konsisten (untuk all out),” kata dia. Pilihan Editor: Cina Tempati Semua Posisi Nomor Satu dalam Ranking Bulu Tangkis BWF Terbaru, Ulang Dominasi 12 Tahun Lalu",greysia-polii,bulu-tangkis,pbsi,apriyani-rahayu,apriyani-fadia,tempo,Internasional
"Ban Truk Copot Saat Melaju di Cilincing, Hantam Angkot tapi Sopir Tak Sadari",19 Maret 2025,https://megapolitan.kompas.com/read/2025/03/19/22320601/ban-truk-copot-saat-melaju-di-cilincing-hantam-angkot-tapi-sopir-tak," JAKARTA, KOMPAS.com - Sebuah kontainer yang tak diketahui nomor polisinya mengalami copot ban saat melintas di Jalan Raya Cilincing, Jakarta Utara, Rabu (19/3/2025) sekitar pukul 19.00 WIB. Sang sopir kontainer tak menyadari salah satu ban kendaraannya terlepas sehingga melanjutkan perjalanan begitu saja. Alhasil, ban tetsebut terguling ke belakang dan menghantam angkot yang sedang berhenti. ""Telah terjadi ban truk copot dan hantam angkot di Jalan Raya Cilincing, Jakarta Utara, jam 19.00 WIB malam ini,"" ucap salah satu warga bernama M Sarip (25) saat dikonfirmasi, Rabu malam. Ban kontainer itu menghantam bagian belakang area kiri angkot. Alhasil, lampu belakang sebelah kiri angkot tersebut retak. Beruntungnya, kata Sarip, ban kontainer itu tidak mengenai pengendara lainnya. ""Untungnya tidak mengenai motor atau kendaraan yang sedang melintas,"" kata Sarip. Sementara, hingga kini truk yang mengalami copot ban itu tak diketahui keberadaannya.",ban truk copot,truk copot ban,ban truk copot di cilincing,truk di cilincing copot ban,,kompas,Hukum & Kriminal
Perjuangan Yuda PPSU Jakarta yang Tembus PON 2024: Giat Latihan Sebelum dan Sesudah Kerja,12 September 2024,https://megapolitan.kompas.com/read/2024/09/12/16452121/perjuangan-yuda-ppsu-jakarta-yang-tembus-pon-2024-giat-latihan-sebelum," JAKARTA, KOMPAS.com - Yuda (29), seorang pekerja Penanganan Prasarana dan Sarana Umum (PPSU), menunjukkan dedikasi yang luar biasa. Di balik rutinitasnya sebagai petugas PPSU di Kelurahan Petogogan, Jakarta Selatan, Yuda juga berjuang untuk mempersiapkan diri dalam perhelatan PON 2024. Menjadi atlet trail run yang mewakili Jakarta, Yuda menjalani kehidupan yang penuh tantangan. Yuda mengungkapkan demi persiapan Seleksi Daerah (Selekda) PON, ia harus meluangkan waktu berlatih sebelum dan sesudah bekerja. “Saya biasa lari pagi dulu tuh sebelum kerja. Jam 5.30 WIB lah, 30 menit, 45 menit sudah cukup. Sorenya baru program inti yang saya mainkan,” kata Yuda saat dihubungi pada Kamis (12/9/2024). Olahraga lari bukan hal baru bagi Yuda. Pria asal Tasikmalaya ini telah menjadikan lari sebagai hobinya sejak tamat SMA. Ia menceritakan bagaimana dulu ia kerap menemani teman-temannya yang ingin mendaftar ke TNI/Polri. “Dibayangin memang capek. Tapi saya jalanin karena sudah candu sama lari,” ungkapnya. Dalam persiapannya untuk Selekda, Yuda tidak segan-segan untuk berlatih di gunung setiap bulan. “Terus, sebulan dua kali saya naik-naik gunung di kampung saya, itu Cikurai, Guntur,” jelas Yuda. Di samping itu, ia juga harus menjalani perkuliahan malam di Universitas Pamulang setelah menyelesaikan latihan sore. Saat mengikuti Selekda, Yuda tidak mengharapkan banyak. Namun, dengan kerja keras dan ketekunannya, ia berhasil mendapatkan urutan kedua dalam seleksi tersebut di kategori trail run jarak pendek 43 kilometer. “Waktu Selekda kemarin tuh tanggal 6 Juli itu. Alhamdulillah dapet (peringkat) kedua,” tambahnya. Kini, Yuda telah resmi lolos seleksi PON dan akan mewakili Jakarta dalam ajang atletik ini. Meski demikian, ia tetap merendah. Yuda menekankan bahwa cita-citanya tidak muluk-muluk. “Untuk target juara, dapet 10 besar sudah untung. Yang penting sampai finish dulu,” katanya.",PPSU atlet PON,PPSU atlet trail run ikut PON,,,,kompas,Olahraga
"KPU Luncurkan Indeks Partisipasi Pilkada 2024, Ukur Kualitas Demokrasi",18 Oktober 2025,https://nasional.kompas.com/read/2025/10/18/14554171/kpu-luncurkan-indeks-partisipasi-pilkada-2024-ukur-kualitas-demokrasi," JAKARTA, KOMPAS.com - Komisi Pemilihan Umum (KPU) resmi meluncurkan Indeks Partisipasi Pilkada (IPP) 2024, yang digunakan untuk mengukur tingkat partisipasi masyarakat dalam pemilihan kepala daerah serentak pada 2024. Ketua KPU Mochammad Afifuddin mengatakan, IPP merupakan bagian dari komitmen KPU untuk terus memperkuat partisipasi publik dan transparansi dalam setiap penyelenggaraan pemilu dan pilkada di Indonesia. “Yang namanya partisipasi pasti banyak dinamika yang harus kita bahas di negara yang hak memilih itu adalah bukan kewajiban,” ujar Afifuddin di Hotel Pullman Central Park, Jakarta, Sabtu (18/10/2025). Di negara seperti Australia, memilih merupakan kewajiban dan warga yang tidak menggunakan hak pilih akan dikenai sanksi. Berbeda di Indonesia, di mana memilih adalah hak, bukan kewajiban. Karena itu, tantangan terbesar KPU adalah mendorong masyarakat agar mau menggunakan hak pilihnya secara sadar dan sukarela. “Karena orang-orang (di Australia) yang tidak bisa atau tidak mau menggunakan hak pilihnya, dia juga akan mendapat hukuman. Di Indonesia ini menjadi hak, Yang bisa dipakai, bisa tidak,” ujar Afifudin. Afifuddin menyoroti tantangan unik yang dihadapi penyelenggara pemilu tahun lalu, ketika Indonesia untuk pertama kalinya menyelenggarakan pemilu nasional dan pilkada dalam tahun yang sama, yakni 2024. “Di belahan dunia manapun, bahkan saya bilang di dunia dan akhirat, pemilu serentak itu cuma di Indonesia,” ujar Afifudin. Ia menjelaskan, secara konstitusional, KPU telah menyelesaikan seluruh tahapan pemilu 2024 dengan tuntas, mulai dari pemilihan presiden, DPR, DPD, hingga kepala daerah di seluruh provinsi dan kabupaten/kota. “Pemilu serentak dan pilkada untuk KPU, Bawaslu, DKPP, dan lainnya sudah 100 persen selesai setelah 27 September kemarin,” kata Afifuddin. Afifuddin menegaskan, IPP bukan hanya alat ukur statistik, tetapi juga bahan refleksi untuk memperbaiki desain penyelenggaraan pemilu di masa mendatang. “Yang baik-baik dipertahankan, yang kurang baik kita tingkatkan. Jadi IPP ini menjadi dasar riset agar pemilu ke depan bisa lebih baik,” ujar Afifudin. Ia juga menekankan pentingnya kolaborasi lintas sektor. Ke depan, KPU akan melibatkan lembaga swadaya masyarakat (NGO), akademisi, dan masyarakat sipil untuk mendiskusikan hasil IPP 2024, sekaligus merumuskan strategi inovatif untuk meningkatkan partisipasi pemilih di pilkada berikutnya. “Pemilu pasti kita juga ada kurangnya, pasti jauh dari kesempurnaan. Jadi kita ingin kemudian mendapatkan masukan kritikan masyarakat. Kita tidak anti kritik,” tegas Afifudin. Adapun varibael IPP 1014, diantaranya registrasi pemilih, pencalonan, kampanye, sosialisasi pendidikan pemilih dan partisipasi masyarakat, serta voters turnout. Sementara itu skala pengukuran IPP mencakup involvement (keterlibatan), yakni ketertarikan terhadap isu dan proses pilkada dengan rentang skor >60. Lalu, engagement (aksi) atau ikut serta dalam proses pilkada dengan skor 10-77,5. Lalu, participatory (komitmen penuh) atau tingkat partisipasi secara aktif dalam seluruh proses pilkada dengan rentang skor >77,5. Adapun tingkat provinsi terdapat 10,8 persen kategori partisipasi, 82,8 persen. Sementara itu, kategori engagement dan 5,4 persen dari kategori involvement. Untuk kabupaten kota, ada 14 kabupaten/ kota yang tingat partisipasinya 4,7 persen, dan sebanyak 446 kabupaten/kota dengan 87,8 persen tingkat engagement.",KPU,pilkada,pemilu,Pemilu 2024,Pilkada 2024,kompas,Internasional
"Banyak Bencana, Cak Imin Beri 3 Pesan Ini untuk Seluruh Kader PKB",9 Maret 2025,https://nasional.kompas.com/read/2025/03/09/20040431/banyak-bencana-cak-imin-beri-3-pesan-ini-untuk-seluruh-kader-pkb," JAKARTA, KOMPAS.com - Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar atau Cak Imin menitipkan tiga pesan kepada kadernya saat Silaturrahim Ramadan Keluarga Besar PKB, Minggu (9/3/2025). Pertama, ia meminta seluruh pengurus dan kader PKB istiqomah atau konsisten. ""Istiqomah ini harus dijaga betul, meskipun sulit, meskipun pahit,"" kata Cak Imin dalam keterangannya. Pesan kedua, Cak Imin meminta pengurus dan kader PKB peduli, hadir, dan menyapa masyarakat di semua event dan keadaan. ""Dan yang ketiga, saya minta kita semua memaksimalkan network yang kita punya, kita jaga sebaik mungkin. Soliditas ini kita syukuri, kita kelola, kita jaga agar partai ini terus produktif,"" pinta dia. Saat ini, imbuh Cak Imin, Indonesia tengah dilanda berbagai bencana seperti banjir bandang di sejumlah wilayah. Menteri Koordinator bidang Pemberdayaan Masyarakat ini bersyukur seluruh pemangku kepentingan dari PKB tidak berpangku tangan atas ragam bencana tersebut. Sebaliknya, menurut Cak Imin, mereka hadir dan terus bergerak membantu korban bencana alam. ""Terima kasih kepada yang telah bergerak cepat membantu saudara-saudara kita yang terkena bencana, terima kasih telah bergerak cepat membantu,"" ungkap Cak Imin. ""Di tengah soliditas ini, kita harus cepat merespons perkembangan terutama yang terkait kemanusiaan kita, termasuk kemanusiaan yang sedang kena bencana. Insyaallah pak Mardas sebagai Ketua DPP PKB bidang Penanggulangan Bencana makin disolidkan timnya pak,"" sambungnya. Sebagai informasi, acara ini turut dihadiri oleh Ketua Dewan Syura DPP PKB, Maruf Amin, mantan Ketua Umum DPP PKB Alwi Shihab, Sekretaris Dewan Syura DPP PKB KH. Saifullah Maksum, serta Anggota Dewan Syura DPP PKB Manarul Hidayah.",bencana alam,cak imin,pkb,Silaturahim Ramadan,,kompas,Lingkungan
KPK Tahan 4 Tersangka Kasus Dana Hibah Jatim,2 Oktober 2025 | 19.59 WIB,https://www.tempo.co/hukum/kpk-tahan-4-tersangka-kasus-dana-hibah-jatim-2075657,"Baca berita dengan sedikit iklan,  klik di sini  KOMISI Pemberantasan Korupsi (KPK) menahan empat tersangka tindak pidana korupsi pemberian dan penerimaan hadiah atau janji pengurusan dana hibah untuk Kelompok Masyarakat (Pokmas) dari APBD Pemerintah Provinsi Jawa Timur (Jatim) tahun anggaran 2019-2022.  Baca berita dengan sedikit iklan,  klik di sini  ""Pada hari ini, Kamis, 2 Oktober 2025, KPK melakukan penahanan terhadap empat tersangka dari pihak pemberi kepada Saudara KUS,"" kata pelaksana tugas (plt) Deputi Penindakan dan Eksekusi KPK Asep Guntur Rahayu, di gedung Merah Putih KPK, Jakarta Selatan.  Scroll ke bawah untuk melanjutkan membaca   Baca berita dengan sedikit iklan,  klik di sini  Adapun keempat tersangka tersebut, yakni anggota DPRD Jatim periode 2024-2029 atau pihak swasta dari Kabupaten Gresik, Hasanuddin (HAS); Jodi Pradana Putra) selaku pihak swasta dari Kabupaten Blitar, Jodi Pradana Putra (JPP); mantan Kepala Desa di Kabupaten Tulungagung, Sukar (SUK); pihak swasta dari Tulungagung, Wawan Kristiawan (WK). Sedangkan untuk tersangka A. Royan (AR), meminta penjadwalan ulang pemeriksaan penyidikan karena alasan kesehatan. Keempat tersangka merupakan pemberi hadiah atau janji pengurusan dana hibah kepada Ketua DPRD Jatim kala itu, Kusnadi. Para tersangka korupsi dana hibah Pemprov Jatim itu ditahan untuk 20 hari pertama terhitung mulai 2-21 Oktober 2025 di Rutan Cabang KPK Merah Putih. Atas perbuatannya, tersangka disangkakan melanggar Pasal 5 ayat (1) huruf a atau huruf b atau Pasal 13 Undang-Undang Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi sebagaimana telah diubah dengan Undang-Undang Nomor 20 Tahun 2001 tentang Perubahan Atas Undang-Undang Nomor 31 Tahun 1999 tentang Pemberantasan Tindak Pidana Korupsi Jo. Pasal 55 ayat (1) ke-1 KUHP. Perkara ini merupakan pengembangan dari kegiatan tangkap tangan pada Desember 2022, terhadap Sahat Tua P. Simanjuntak, Wakil Ketua DPRD Provinsi Jawa Timur (Jatim) periode 2019-2024. Setelah dilakukan serangkaian kegiatan penyelidikan dan penyidikan, serta berdasarkan kecukupan alat bukti, KPK menetapkan 21 orang sebagai tersangka. Adapun empat tersangka penerima, yakni Ketua DPRD Jatim Kusnadi; Anwar Sadad, Wakil Ketua DPRD Jatim; Achmad Iskandar, Wakil Ketua DPRD Jatim; dan Bagus Wahyudiono, staf AS dari Anggota DPRD Jatim atau pihak swasta. Sedangkan 17 tersangka sebagai pemberi suap, adalah Mahud, anggota DPRD Provinsi Jawa Timur 2019-2024; Fauzan Adima, Wakil Ketua dan anggota DPRD Kabupaten Sampang Periode 2019-2024; Jon Junaidi, Wakil Ketua dan anggota DPRD Kabupaten Probolinggo Periode 2019-2024. Berikutnya, Ahmad Heriyadi, Ahmad Affandy dan Abdul Motollib selaku swasta dari Kabupaten Sampang. Moch. Mahrus, swasta di Kabupaten Probolinggo, yang saat ini menjadi anggota DPRD Provinsi Jawa Timur periode 2024-2029.Selanjutnya, A. Royan dan Wawan Kristiawan, pihak swasta dari Tulungagung, serta Sukar, mantan Kepala Desa dari Kabupaten Tulungagung; Ra. Wahid Ruslan dan Mashudi, swasta dari Kabupaten Bangkalan; M. Fathullah dan Achmad Yahya, swasta dari Kabupaten Pasuruan; Ahmad Jailani, swasta dari Kabupaten Sumenep; Hasanuddin, hak swasta dari Kabupaten Gresik yang sekarang menjadi Anggota DPRD Provinsi Jawa Timur periode 2024-2029; Jodi Pradana Putra, swasta dari Kabupaten Blitar.Pilihan Editor: Belok ke Mana Dana Hibah",kpk,dana-hibah,korupsi-dana-hibah-pemprov-jatim,korupsi-dana-hibah,anggota-dprd,tempo,Hukum & Kriminal
"Soal Biaya Seragam SD Rp 1,1 Juta, Disdik Tangsel: Kepala Sekolah Akui Keliru",17 Juli 2025,https://megapolitan.kompas.com/read/2025/07/17/18191811/soal-biaya-seragam-sd-rp-11-juta-disdik-tangsel-kepala-sekolah-akui," TANGERANG SELATAN, KOMPAS.com – Dinas Pendidikan Kota Tangerang Selatan (Disdik Tangsel) memastikan tidak ada pungutan biaya seragam dalam penerimaan siswa di SD Negeri Ciledug Barat, Pamulang, Tangsel. Kepala Bidang Pembinaan SD Dinas Pendidikan dan Kebudayaan Tangsel Didin Sihabudin berujar, belum ada transaksi orangtua siswa yang dimaksud telah membayar uang seragam kepada pihak sekolah. Menurut Didin, dari hasil pemeriksaan, Disdik menyatakan tidak ditemukan adanya pungutan resmi yang dibebankan kepada orangtua siswa terkait seragam. Selain itu, anak tersebut sudah diterima dan saat ini aktif bersekolah. ""Selama proses pemeriksaan, belum ada bukti bahwa orang tua siswa telah membayar uang seragam kepada pihak sekolah. Kepala sekolah juga mengakui kekeliruannya dan menyatakan tidak akan mengulangi hal yang sama,” ungkap Didin, Kamis (17/7/2025). Disdik menegaskan, sekolah negeri tidak diperbolehkan memungut biaya dalam bentuk apapun, termasuk untuk keperluan seragam. Menurut Didin, siswa dipersilakan menggunakan seragam yang ada. Selain itu, Disdik memastikan bahwa anak yang sebelumnya diberitakan belum masuk sekolah, kini telah diterima dan mengikuti kegiatan belajar-mengajar di SDN Ciledug Barat. “Kami juga telah melakukan visitasi langsung dan melihat sendiri bahwa anak tersebut telah masuk ke ruang kelas dan mengikuti pelajaran,"" lanjut Didin. Disdik berkomitmen untuk mewujudkan prinsip sekolah ramah anak di seluruh wilayah Tangsel. “Kami ingin memastikan semua anak di Tangsel bisa masuk sekolah dengan bahagia dan nyaman, sesuai prinsip sekolah ramah anak,” ucap dia. Sebelumnya, orangtua salah satu siswa bernama Nur Febri Susanti (38) mengaku harus menunda harapan menyekolahkan dua buah hatinya karena terbentur biaya seragam sekolah yang disebut mencapai Rp 1,1 juta per anak. Kedua anak Nur merupakan siswa pindahan dari sekolah di Jakarta. Anak pertamanya naik ke kelas lima, sedangkan adiknya ke kelas dua. Bagi Nur, biaya seragam tersebut terbilang sangat memberatkan karena suaminya hanya bekerja sebagai tukang parkir. Dengan tarif itu, Nur harus merogoh saku lebih dalam senilai Rp 2,2 juta untuk seragam kedua anaknya. Nur semakin bingung ketika kepala sekolah menyampaikan bahwa seragam lama dari sekolah sebelumnya tidak boleh digunakan oleh sang anak. Ia juga diminta mentransfer biaya seragam ke rekening pribadi kepala sekolah.",seragam sekolah,Tangsel,sd negeri tangsel,isu seragam sekolah,seragam sekolah SD Tangsel,kompas,Pendidikan & Kebudayaan
"Dana RT dan RW di Jakarta Akan Naik, Anggota DPRD Desak Kinerja Juga Ditingkatkan",27 Juli 2025,https://megapolitan.kompas.com/read/2025/07/27/05530371/dana-rt-dan-rw-di-jakarta-akan-naik-anggota-dprd-desak-kinerja-juga," JAKARTA, KOMPAS.com – Anggota DPRD DKI dari Fraksi Perindo, Dina Masyusin, mendukung kenaikan dana RT dan RW, tapi menegaskan kinerja juga harus ikut ditingkatkan. “Jangan sampai dana naik, tapi semangat menurun. Kenaikan ini harus menjadi pemicu kinerja yang lebih baik dan pelayanan yang makin responsif,” kata Dina kepada Kompas.com pada Sabtu (26/7/2025). Gubernur Jakarta Pramono Anung sebelumnya berencana menaikkan dana operasional RT dan RW sebesar 25 persen mulai Oktober 2025. Kenaikan ini dilakukan secara bertahap karena anggaran daerah masih diprioritaskan untuk penanganan banjir, kemacetan, dan pembangunan saluran air di Jakarta. Dina menyebut, usulan ini sebenarnya sudah lama diperjuangkan oleh para anggota dewan. “Ini sebetulnya sudah lama kami dorong. Para anggota dewan sering menerima keluhan langsung dari perangkat RT dan RW soal minimnya dana operasional. Tapi realisasinya baru akan dilakukan sekarang,” ujarnya. Dina menilai, kenaikan ini merupakan bentuk apresiasi terhadap pentingnya peran RT dan RW dalam masyarakat. Ia menyebut RT dan RW adalah ujung tombak pelayanan publik di tingkat paling bawah yang berperan menyampaikan informasi, mengawasi lingkungan, hingga menyelesaikan persoalan warga. Saat ini, dana operasional RT di Jakarta tercatat sebesar Rp 2 juta per bulan, sementara RW sebesar Rp 2,5 juta. Jumlah RT dan RW di Jakarta sekitar 30.900. Jika usulan kenaikan terealisasi, dengan besaran Rp 4 juta untuk RT dan Rp 5 juta untuk RW, maka total alokasi anggaran akan mencapai sekitar Rp 68 miliar per bulan. ""Harapannya naik 25 persen tiap tahun. Semoga anggaran bisa dialokasikan untuk kenaikan gaji RT dan RW di DKI Jakarta,"" ucap Dina. Menurut Dina, angka itu masih tergolong wajar dibandingkan dengan Anggaran Pendapatan dan Belanja Daerah (APBD) Jakarta yang mencapai Rp 91,3 triliun pada 2025. “Dengan anggaran sebesar itu, sangat masuk akal jika kesejahteraan dan dukungan operasional bagi garda terdepan pelayanan masyarakat ditingkatkan,” kata Dina. Di sisi lain, Dina juga meminta perhatian Pemprov Jakarta tidak hanya tertuju kepada RT dan RW. Ia mendorong agar insentif bagi kader Dasawisma, Jumantik, PKK, dan Posyandu juga ditingkatkan. “Kami mendukung penuh peningkatan dana operasional Dasawisma dari Rp 500.000 menjadi Rp 750.000 per bulan. Dan kami juga mendorong penyesuaian serupa untuk kader Jumantik, PKK, serta Posyandu,” tegasnya.",DPRD DKI,Pemprov DKI,pelayanan masyarakat,anggaran operasional,dana rt dan rw,kompas,Politik
